named.index	unique.index	external_gene_name	ensembl_gene_id	ensembl_gene_id_version	chromosome_name	start_position	end_position	ensembl_transcript_id	external_gene_source	gene_biotype	external_synonym	hgnc_symbol	strand
DJ1125A11.2	DJ1125A11.2	TPM3P2	ENSG00000214200	ENSG00000214200.2	chr20	33912323	33913336	ENST00000397772	HGNC_Symbol	processed_pseudogene	DJ1125A11.2	TPM3P2	-1
DJ1187J4.2	DJ1187J4.2	BPIFB9P	ENSG00000125997	ENSG00000125997.6	chr20	33347720	33354444	ENST00000246222	HGNC_Symbol	transcribed_unitary_pseudogene	DJ1187J4.2	BPIFB9P	1
DJ1193N1.1	DJ1193N1.1	RPSAP1	ENSG00000228820	ENSG00000228820.2	chr20	51130788	51131667	ENST00000421328	HGNC_Symbol	processed_pseudogene	DJ1193N1.1	RPSAP1	-1
DJ127L4.2	DJ127L4.2	AP1B1P1	ENSG00000234479	ENSG00000234479.3	chr22	32132317	32132507	ENST00000448124	HGNC_Symbol	transcribed_unprocessed_pseudogene	DJ127L4.2	AP1B1P1	1
DJ127L4.3	DJ127L4.3	AP1B1P2	ENSG00000232707	ENSG00000232707.1	chr22	32134028	32134133	ENST00000416196	HGNC_Symbol	unprocessed_pseudogene	DJ127L4.3	AP1B1P2	1
DJ139G21.2	DJ139G21.2	H2AC3P	ENSG00000242387	ENSG00000242387.1	chr6	25882026	25882395	ENST00000454426	HGNC_Symbol	transcribed_processed_pseudogene	DJ139G21.2	H2AC3P	-1
DJ153G14.2	DJ153G14.2	MCFD2P1	ENSG00000237154	ENSG00000237154.2	chr6	27407697	27407996	ENST00000417812	HGNC_Symbol	processed_pseudogene	DJ153G14.2	MCFD2P1	1
DJ155G6.3	DJ155G6.3	SNAP23P1	ENSG00000230758	ENSG00000230758.1	chr20	49038357	49038602	ENST00000433229	HGNC_Symbol	processed_pseudogene	DJ155G6.3	SNAP23P1	-1
DJ15D7.1	DJ15D7.1	RPL8P1	ENSG00000216676	ENSG00000216676.2	chr6	27652602	27652825	ENST00000404273	HGNC_Symbol	processed_pseudogene	DJ15D7.1	RPL8P1	-1
DJ189G13.1	DJ189G13.1	RPL7AP12	ENSG00000228210	ENSG00000228210.1	chr20	4590993	4591300	ENST00000429405	HGNC_Symbol	processed_pseudogene	DJ189G13.1	RPL7AP12	-1
DJ189G13.2	DJ189G13.2	RPS4XP2	ENSG00000226948	ENSG00000226948.3	chr20	4629427	4630219	ENST00000458402	HGNC_Symbol	transcribed_processed_pseudogene	DJ189G13.2	RPS4XP2	-1
DJ18C9.3	DJ18C9.3	HMGB3P1	ENSG00000225336	ENSG00000225336.2	chr20	34833575	34834462	ENST00000393368	HGNC_Symbol	processed_pseudogene	DJ18C9.3	HMGB3P1	-1
DJ207F6.1	DJ207F6.1	NOP56P1	ENSG00000235559	ENSG00000235559.1	chr6	28783633	28784004	ENST00000440030	HGNC_Symbol	processed_pseudogene	DJ207F6.1	NOP56P1	-1
DJ221C16.7	DJ221C16.7	LARP1P1	ENSG00000217159	ENSG00000217159.2	chr6	26164072	26164363	ENST00000407692	HGNC_Symbol	processed_pseudogene	DJ221C16.7	LARP1P1	1
DJ222E13.1	DJ222E13.1	SERHL	ENSG00000172250	ENSG00000172250.19	chr22	42500671	42512237	ENST00000642172	HGNC_Symbol	transcribed_unitary_pseudogene	DJ222E13.1	SERHL	1
DJ222E13.2	DJ222E13.2	RRP7BP	ENSG00000182841	ENSG00000182841.15	chr22	42574733	42582001	ENST00000566851	HGNC_Symbol	transcribed_unprocessed_pseudogene	DJ222E13.2	RRP7BP	-1
DJ24O22.2	DJ24O22.2	SEPTIN14P6	ENSG00000217929	ENSG00000217929.5	chr6	142272	145083	ENST00000406017	HGNC_Symbol	transcribed_processed_pseudogene	DJ24O22.2	SEPTIN14P6	-1
DJ254P11.1	DJ254P11.1	ELOCP3	ENSG00000229919	ENSG00000229919.3	chr10	10174230	10174577	ENST00000439303	HGNC_Symbol	processed_pseudogene	DJ254P11.1	ELOCP3	1
DJ269M15.1	DJ269M15.1	PPIAP21	ENSG00000226038	ENSG00000226038.5	chr20	43230760	43231260	ENST00000464473	HGNC_Symbol	processed_pseudogene	DJ269M15.1	PPIAP21	1
DJ271M21	DJ271M21	SUMO2P1	ENSG00000235238	ENSG00000235238.1	chr6	29636060	29636343	ENST00000445436	HGNC_Symbol	transcribed_processed_pseudogene	DJ271M21	SUMO2P1	-1
DJ271M21.8	DJ271M21.8	GPR53P	ENSG00000229281	ENSG00000229281.1	chr6	29537704	29538787	ENST00000457298	HGNC_Symbol	unprocessed_pseudogene	DJ271M21.8	GPR53P	-1
DJ290I10.4	DJ290I10.4	MRPL48P1	ENSG00000238076	ENSG00000238076.1	chr6	10459906	10460541	ENST00000445390	HGNC_Symbol	processed_pseudogene	DJ290I10.4	MRPL48P1	-1
DJ309K20.1	DJ309K20.1	FER1L4	ENSG00000088340	ENSG00000088340.18	chr20	35558866	35607494	ENST00000615531	HGNC_Symbol	transcribed_unitary_pseudogene	DJ309K20.1	FER1L4	-1
DJ313I6.1	DJ313I6.1	IQCB2P	ENSG00000217539	ENSG00000217539.2	chr6	28010723	28012355	ENST00000401788	HGNC_Symbol	processed_pseudogene	DJ313I6.1	IQCB2P	1
DJ313I6.7	DJ313I6.7	ZSCAN12P1	ENSG00000219891	ENSG00000219891.4	chr6	28092427	28092845	ENST00000406489	HGNC_Symbol	transcribed_unprocessed_pseudogene	DJ313I6.7	ZSCAN12P1	1
DJ342K12.1	DJ342K12.1	MTCO2P1	ENSG00000229690	ENSG00000229690.1	chr20	60414396	60414872	ENST00000424648	HGNC_Symbol	processed_pseudogene	DJ342K12.1	MTCO2P1	-1
DJ348M17.1	DJ348M17.1	RPL7AP13	ENSG00000235208	ENSG00000235208.2	chr20	16684108	16684404	ENST00000443141	HGNC_Symbol	processed_pseudogene	DJ348M17.1	RPL7AP13	-1
DJ34B20.16	DJ34B20.16	H1-12P	ENSG00000216331	ENSG00000216331.2	chr6	26195554	26196633	ENST00000404269	HGNC_Symbol	transcribed_unprocessed_pseudogene	DJ34B20.16	H1-12P	1
DJ34B20.2	DJ34B20.2	H2AC10P	ENSG00000218690	ENSG00000218690.3	chr6	26272193	26272540	ENST00000362070	HGNC_Symbol	transcribed_unprocessed_pseudogene	DJ34B20.2	H2AC10P	-1
DJ34B20.8	DJ34B20.8	H2AC9P	ENSG00000218281	ENSG00000218281.1	chr6	26233122	26233255	ENST00000403259	HGNC_Symbol	unprocessed_pseudogene	DJ34B20.8	H2AC9P	1
DJ372B18.1	DJ372B18.1	HNRNPA1P2	ENSG00000237285	ENSG00000237285.1	chr6	32325219	32326178	ENST00000432375	HGNC_Symbol	processed_pseudogene	DJ372B18.1	HNRNPA1P2	1
DJ377H14.2	DJ377H14.2	RPL7AP7	ENSG00000213880	ENSG00000213880.3	chr6	29803195	29803991	ENST00000453429	HGNC_Symbol	processed_pseudogene	DJ377H14.2	RPL7AP7	-1
DJ377H14.3	DJ377H14.3	HLA-P	ENSG00000261548	ENSG00000261548.1	chr6	29800415	29802425	ENST00000568192	HGNC_Symbol	unprocessed_pseudogene	DJ377H14.3	HLA-P	1
DJ377H14.4	DJ377H14.4	HLA-V	ENSG00000181126	ENSG00000181126.14	chr6	29792234	29793136	ENST00000429037	HGNC_Symbol	transcribed_unprocessed_pseudogene	DJ377H14.4	HLA-V	1
DJ377H14.6	DJ377H14.6	HCG9P5	ENSG00000227758	ENSG00000227758.1	chr6	29748289	29748513	ENST00000435408	HGNC_Symbol	unprocessed_pseudogene	DJ377H14.6	HCG9P5	1
DJ377H14.7	DJ377H14.7	MICE	ENSG00000273340	ENSG00000273340.1	chr6	29741731	29748969	ENST00000510438	HGNC_Symbol	transcribed_unprocessed_pseudogene	DJ377H14.7	MICE	-1
DJ388M5.2	DJ388M5.2	HMGN2P9	ENSG00000180150	ENSG00000180150.5	chr22	43802544	43802772	ENST00000476875	HGNC_Symbol	processed_pseudogene	DJ388M5.2	HMGN2P9	1
DJ40E16.3	DJ40E16.3	FAM136BP	ENSG00000232654	ENSG00000232654.1	chr6	3045384	3045800	ENST00000428729	HGNC_Symbol	processed_pseudogene	DJ40E16.3	FAM136BP	1
DJ447F3.1	DJ447F3.1	HNRNPA1P3	ENSG00000226188	ENSG00000226188.2	chr20	45745737	45746287	ENST00000440968	HGNC_Symbol	processed_pseudogene	DJ447F3.1	HNRNPA1P3	-1
DJ447F3.6	DJ447F3.6	SPINT5P	ENSG00000168630	ENSG00000168630.3	chr20	45749920	45750074	ENST00000448174	HGNC_Symbol	processed_pseudogene	DJ447F3.6	SPINT5P	1
DJ45P21.6	DJ45P21.6	H3C9P	ENSG00000220875	ENSG00000220875.1	chr6	26321876	26322292	ENST00000404612	HGNC_Symbol	processed_pseudogene	DJ45P21.6	H3C9P	-1
DJ470L14.3	DJ470L14.3	ARPC3P1	ENSG00000226284	ENSG00000226284.1	chr20	49134480	49135012	ENST00000437218	HGNC_Symbol	processed_pseudogene	DJ470L14.3	ARPC3P1	1
DJ509I19.4	DJ509I19.4	ACKR4P1	ENSG00000225415	ENSG00000225415.2	chr6	138822747	138823799	ENST00000449542	HGNC_Symbol	processed_pseudogene	DJ509I19.4	ACKR4P1	1
DJ531H16.2	DJ531H16.2	DYNLT3P1	ENSG00000232241	ENSG00000232241.1	chr20	17479085	17479431	ENST00000378574	HGNC_Symbol	processed_pseudogene	DJ531H16.2	DYNLT3P1	-1
DJ531H16.4	DJ531H16.4	RPS27AP2	ENSG00000232333	ENSG00000232333.1	chr20	17516843	17517307	ENST00000457576	HGNC_Symbol	transcribed_processed_pseudogene	DJ531H16.4	RPS27AP2	1
DJ54G6.1	DJ54G6.1	ATG3P1	ENSG00000224357	ENSG00000224357.1	chr20	39329014	39329924	ENST00000419507	HGNC_Symbol	processed_pseudogene	DJ54G6.1	ATG3P1	-1
DJ550H1.1	DJ550H1.1	HMGB3P2	ENSG00000231470	ENSG00000231470.1	chr20	36076018	36076601	ENST00000411913	HGNC_Symbol	processed_pseudogene	DJ550H1.1	HMGB3P2	-1
DJ570F3.5	DJ570F3.5	RPL12P1	ENSG00000204194	ENSG00000204194.1	chr6	33400059	33400556	ENST00000374520	HGNC_Symbol	processed_pseudogene	DJ570F3.5	RPL12P1	-1
DJ570F3.6	DJ570F3.6	LYPLA2P1	ENSG00000228285	ENSG00000228285.2	chr6	33365548	33366243	ENST00000447689	HGNC_Symbol	processed_pseudogene	DJ570F3.6	LYPLA2P1	-1
DJ581P3.1	DJ581P3.1	SF3A3P1	ENSG00000230568	ENSG00000230568.1	chr20	3489529	3491005	ENST00000446317	HGNC_Symbol	processed_pseudogene	DJ581P3.1	SF3A3P1	-1
DJ585I14.1	DJ585I14.1	GAPDHP2	ENSG00000236811	ENSG00000236811.1	chr20	13392677	13393674	ENST00000432206	HGNC_Symbol	processed_pseudogene	DJ585I14.1	GAPDHP2	1
DJ599F21.2	DJ599F21.2	RPL13P2	ENSG00000213820	ENSG00000213820.3	chr20	46099518	46100176	ENST00000440687	HGNC_Symbol	processed_pseudogene	DJ599F21.2	RPL13P2	1
DJ614O4.6	DJ614O4.6	MT1P3	ENSG00000229230	ENSG00000229230.3	chr20	35218009	35218185	ENST00000421424	HGNC_Symbol	processed_pseudogene	DJ614O4.6	MT1P3	1
DJ661I20.1	DJ661I20.1	RPL12P11	ENSG00000232493	ENSG00000232493.2	chr20	41547422	41547922	ENST00000439970	HGNC_Symbol	processed_pseudogene	DJ661I20.1	RPL12P11	1
DJ681N20.2	DJ681N20.2	FTLP3	ENSG00000226608	ENSG00000226608.3	chr20	4023917	4024444	ENST00000427242	HGNC_Symbol	processed_pseudogene	DJ681N20.2	FTLP3	1
DJ688G8.1	DJ688G8.1	RPS2P7	ENSG00000235508	ENSG00000235508.3	chr20	45640486	45641370	ENST00000447334	HGNC_Symbol	processed_pseudogene	DJ688G8.1	RPS2P7	-1
DJ753D5.2	DJ753D5.2	RPS17P5	ENSG00000060303	ENSG00000060303.5	chr6	50857255	50857662	ENST00000498293	HGNC_Symbol	processed_pseudogene	DJ753D5.2	RPS17P5	-1
DJ760C5.1	DJ760C5.1	CFTRP1	ENSG00000228593	ENSG00000228593.1	chr20	25919499	25919681	ENST00000456646	HGNC_Symbol	unprocessed_pseudogene	DJ760C5.1	CFTRP1	-1
DJ785G19.1	DJ785G19.1	XPOTP1	ENSG00000214185	ENSG00000214185.3	chr20	34213495	34215892	ENST00000443317	HGNC_Symbol	processed_pseudogene	DJ785G19.1	XPOTP1	-1
dJ798A10.2	dJ798A10.2	CROCCP3	ENSG00000080947	ENSG00000080947.16	chr1	16474396	16491307	ENST00000420820	HGNC_Symbol	transcribed_unprocessed_pseudogene	dJ798A10.2	CROCCP3	-1
DJ80I19.5	DJ80I19.5	OR2J4P	ENSG00000224233	ENSG00000224233.1	chr6	29181510	29182445	ENST00000453647	HGNC_Symbol	unprocessed_pseudogene	DJ80I19.5	OR2J4P	1
DJ80I19.6	DJ80I19.6	OR2H4P	ENSG00000230598	ENSG00000230598.3	chr6	29215236	29216179	ENST00000415595	HGNC_Symbol	transcribed_unprocessed_pseudogene	DJ80I19.6	OR2H4P	1
DJ822J19.1	DJ822J19.1	ENSAP1	ENSG00000224274	ENSG00000224274.1	chr20	15619494	15619819	ENST00000392855	HGNC_Symbol	processed_pseudogene	DJ822J19.1	ENSAP1	-1
DJ823N20.2	DJ823N20.2	RPL7AP14	ENSG00000213979	ENSG00000213979.3	chr20	37444733	37445534	ENST00000424041	HGNC_Symbol	processed_pseudogene	DJ823N20.2	RPL7AP14	-1
DJ831C21.3	DJ831C21.3	POM121L3P	ENSG00000167390	ENSG00000167390.8	chr20	23989292	23990454	ENST00000419331	HGNC_Symbol	unprocessed_pseudogene	DJ831C21.3	POM121L3P	1
DJ836N17.3	DJ836N17.3	RSL24D1P6	ENSG00000224452	ENSG00000224452.1	chr20	32170390	32170790	ENST00000426934	HGNC_Symbol	processed_pseudogene	DJ836N17.3	RSL24D1P6	-1
DJ843L14.2	DJ843L14.2	RPS4XP3	ENSG00000214541	ENSG00000214541.3	chr20	56601701	56602113	ENST00000398541	HGNC_Symbol	transcribed_processed_pseudogene	DJ843L14.2	RPS4XP3	1
DJ854E16.1	DJ854E16.1	DKKL1P1	ENSG00000215546	ENSG00000215546.2	chr20	31274170	31274867	ENST00000400550	HGNC_Symbol	processed_pseudogene	DJ854E16.1	DKKL1P1	1
DJ862K6.3	DJ862K6.3	EIF4EBP2P1	ENSG00000233711	ENSG00000233711.1	chr20	43423196	43423538	ENST00000450009	HGNC_Symbol	processed_pseudogene	DJ862K6.3	EIF4EBP2P1	-1
DJ86C11.7	DJ86C11.7	VN1R11P	ENSG00000219770	ENSG00000219770.1	chr6	27083280	27084147	ENST00000407795	HGNC_Symbol	unitary_pseudogene	DJ86C11.7	VN1R11P	1
DJ885L7.5	DJ885L7.5	DPH3P1	ENSG00000233838	ENSG00000233838.5	chr20	62845664	62845912	ENST00000486648	HGNC_Symbol	processed_pseudogene	DJ885L7.5	DPH3P1	1
DJ88J8.3	DJ88J8.3	SAR1AP1	ENSG00000228364	ENSG00000228364.1	chr6	29076573	29077168	ENST00000455287	HGNC_Symbol	processed_pseudogene	DJ88J8.3	SAR1AP1	-1
DJ914P20.4	DJ914P20.4	PSMD10P1	ENSG00000228663	ENSG00000228663.1	chr20	50913731	50914411	ENST00000436861	HGNC_Symbol	processed_pseudogene	DJ914P20.4	PSMD10P1	1
DJ963K23.1	DJ963K23.1	KRT18P4	ENSG00000229222	ENSG00000229222.1	chr20	49956745	49958032	ENST00000422599	HGNC_Symbol	processed_pseudogene	DJ963K23.1	KRT18P4	1
DJ977B1.2	DJ977B1.2	HNRNPA3P2	ENSG00000227688	ENSG00000227688.2	chr20	36620403	36621423	ENST00000451198	HGNC_Symbol	unprocessed_pseudogene	DJ977B1.2	HNRNPA3P2	1
DJ97D16.2	DJ97D16.2	RSL24D1P1	ENSG00000218069	ENSG00000218069.2	chr6	27780619	27781111	ENST00000404972	HGNC_Symbol	processed_pseudogene	DJ97D16.2	RSL24D1P1	-1
DJ97D16.3	DJ97D16.3	H4C10P	ENSG00000217862	ENSG00000217862.2	chr6	27807075	27807339	ENST00000406085	HGNC_Symbol	processed_pseudogene	DJ97D16.3	H4C10P	1
DJ984P4.2	DJ984P4.2	GSTM3P1	ENSG00000227693	ENSG00000227693.1	chr20	21501395	21501968	ENST00000447621	HGNC_Symbol	processed_pseudogene	DJ984P4.2	GSTM3P1	1
DJ994E9.1	DJ994E9.1	RPS17P1	ENSG00000213900	ENSG00000213900.2	chr6	29489271	29489676	ENST00000396783	HGNC_Symbol	processed_pseudogene	DJ994E9.1	RPS17P1	-1
DJ999L4.1	DJ999L4.1	RPL12P12	ENSG00000236992	ENSG00000236992.2	chr20	19823443	19823943	ENST00000424633	HGNC_Symbol	processed_pseudogene	DJ999L4.1	RPL12P12	-1
DKFZP313J1114	DKFZP313J1114	SEPTIN7P2	ENSG00000214765	ENSG00000214765.11	chr7	45736787	45765812	ENST00000398921	HGNC_Symbol	transcribed_unprocessed_pseudogene	DKFZP313J1114	SEPTIN7P2	-1
DKFZP434A0131	DKFZP434A0131	STAG3L1	ENSG00000205583	ENSG00000205583.15	chr7	75361374	75367087	ENST00000456374	HGNC_Symbol	transcribed_unprocessed_pseudogene	DKFZP434A0131	STAG3L1	1
DKFZP434E092	DKFZP434E092	DPY19L2P2	ENSG00000170629	ENSG00000170629.17	chr7	103175343	103277638	ENST00000435536	HGNC_Symbol	transcribed_unprocessed_pseudogene	DKFZP434E092	DPY19L2P2	-1
DKFZP434F1719	DKFZP434F1719	CYP4F30P	ENSG00000214081	ENSG00000214081.9	chr2	130681229	130681955	ENST00000420048	HGNC_Symbol	transcribed_unprocessed_pseudogene	DKFZP434F1719	CYP4F30P	1
DKFZP434I1020	DKFZP434I1020	DNM1P46	ENSG00000182397	ENSG00000182397.15	chr15	99798123	99801179	ENST00000415963	HGNC_Symbol	transcribed_unprocessed_pseudogene	DKFZP434I1020	DNM1P46	-1
DKFZP434J193	DKFZP434J193	SPATA31F2P	ENSG00000257198	ENSG00000257198.7	chr9	34832295	34838493	ENST00000399773	HGNC_Symbol	transcribed_unprocessed_pseudogene	DKFZP434J193	SPATA31F2P	-1
DKFZP434K058	DKFZP434K058	NSUN5P2	ENSG00000106133	ENSG00000106133.19	chr7	72948485	72954717	ENST00000457352	HGNC_Symbol	transcribed_unprocessed_pseudogene	DKFZP434K058	NSUN5P2	-1
DKFZP434M0331	DKFZP434M0331	GOLGA2P5	ENSG00000238105	ENSG00000238105.8	chr12	100156621	100173159	ENST00000266746	HGNC_Symbol	transcribed_unprocessed_pseudogene	DKFZP434M0331	GOLGA2P5	-1
DKFZP434N035	DKFZP434N035	TMEM191A	ENSG00000226287	ENSG00000226287.10	chr22	20702007	20704490	ENST00000637163	HGNC_Symbol	transcribed_unprocessed_pseudogene	DKFZP434N035	TMEM191A	1
DKFZP434O047	DKFZP434O047	TBC1D29P	ENSG00000266733	ENSG00000266733.8	chr17	30553502	30562917	ENST00000578471	HGNC_Symbol	transcribed_unprocessed_pseudogene	DKFZP434O047	TBC1D29P	1
DKFZP547G0215	DKFZP547G0215	ZNF663P	ENSG00000215452	ENSG00000215452.6	chr20	46455955	46457085	ENST00000641770	HGNC_Symbol	transcribed_unitary_pseudogene	DKFZP547G0215	ZNF663P	-1
DKFZP547H025	DKFZP547H025	SLC19A4P	ENSG00000042304	ENSG00000042304.14	chr2	227632969	227648606	ENST00000509872	HGNC_Symbol	transcribed_unprocessed_pseudogene	DKFZP547H025	SLC19A4P	-1
DKFZP564C236	DKFZP564C236	AHSA2P	ENSG00000173209	ENSG00000173209.24	chr2	61177539	61186786	ENST00000489653	HGNC_Symbol	transcribed_unitary_pseudogene	DKFZP564C236	AHSA2P	1
DKFZP566D133	DKFZP566D133	RALGAPA1P1	ENSG00000229419	ENSG00000229419.1	chr9	105520128	105526359	ENST00000443361	HGNC_Symbol	processed_pseudogene	DKFZP566D133	RALGAPA1P1	1
DKFZP667M2411	DKFZP667M2411	LRRC37BP1	ENSG00000250462	ENSG00000250462.9	chr17	30629680	30637302	ENST00000398851	HGNC_Symbol	transcribed_unprocessed_pseudogene	DKFZP667M2411	LRRC37BP1	1
DKFZP686B07267	DKFZP686B07267	CASTOR3P	ENSG00000239521	ENSG00000239521.12	chr7	100222597	100271983	ENST00000647868	HGNC_Symbol	transcribed_unprocessed_pseudogene	DKFZP686B07267	CASTOR3P	-1
DKFZP686B2197	DKFZP686B2197	ZNF542P	ENSG00000240225	ENSG00000240225.11	chr19	56373250	56377972	ENST00000482727	HGNC_Symbol	transcribed_unprocessed_pseudogene	DKFZP686B2197	ZNF542P	1
DKFZP761H1120	DKFZP761H1120	PDXDC2P	ENSG00000255185	ENSG00000255185.7	chr16	70010751	70065776	ENST00000534700	HGNC_Symbol	transcribed_unprocessed_pseudogene	DKFZP761H1120	PDXDC2P	-1
DKKL2	DKKL2	DKKL1P1	ENSG00000215546	ENSG00000215546.2	chr20	31274170	31274867	ENST00000400550	HGNC_Symbol	processed_pseudogene	DKKL2	DKKL1P1	1
DNAJB1P	DNAJB1P	DNAJB1P1	ENSG00000213946	ENSG00000213946.3	chr2	191881182	191882205	ENST00000429417	HGNC_Symbol	processed_pseudogene	DNAJB1P	DNAJB1P1	-1
DNM1DN10@	DNM1DN10@	DNM1P38	ENSG00000259637	ENSG00000259637.1	chr15	82531653	82534139	ENST00000560794	HGNC_Symbol	transcribed_unprocessed_pseudogene	DNM1DN10@	DNM1P38	-1
DNM1DN10-2	DNM1DN10-2	DNM1P38	ENSG00000259637	ENSG00000259637.1	chr15	82531653	82534139	ENST00000560794	HGNC_Symbol	transcribed_unprocessed_pseudogene	DNM1DN10-2	DNM1P38	-1
DNM1DN11@	ENSG00000259637.DNM1DN11@	DNM1P38	ENSG00000259637	ENSG00000259637.1	chr15	82531653	82534139	ENST00000560794	HGNC_Symbol	transcribed_unprocessed_pseudogene	DNM1DN11@	DNM1P38	-1
DNM1DN11@	ENSG00000280038.DNM1DN11@	DNM1P41	ENSG00000280038	ENSG00000280038.1	chr15	84166547	84169896	ENST00000623634	HGNC_Symbol	transcribed_processed_pseudogene	DNM1DN11@	DNM1P41	-1
DNM1DN11-6	DNM1DN11-6	DNM1P41	ENSG00000280038	ENSG00000280038.1	chr15	84166547	84169896	ENST00000623634	HGNC_Symbol	transcribed_processed_pseudogene	DNM1DN11-6	DNM1P41	-1
DNM1DN11-8	DNM1DN11-8	DNM1P38	ENSG00000259637	ENSG00000259637.1	chr15	82531653	82534139	ENST00000560794	HGNC_Symbol	transcribed_unprocessed_pseudogene	DNM1DN11-8	DNM1P38	-1
DNM1DN14@	ENSG00000182397.DNM1DN14@	DNM1P46	ENSG00000182397	ENSG00000182397.15	chr15	99798123	99801179	ENST00000415963	HGNC_Symbol	transcribed_unprocessed_pseudogene	DNM1DN14@	DNM1P46	-1
DNM1DN14@	ENSG00000259660.DNM1DN14@	DNM1P47	ENSG00000259660	ENSG00000259660.3	chr15	101751553	101764961	ENST00000571780	HGNC_Symbol	transcribed_unprocessed_pseudogene	DNM1DN14@	DNM1P47	1
DNM1DN14.2	DNM1DN14.2	DNM1P46	ENSG00000182397	ENSG00000182397.15	chr15	99798123	99801179	ENST00000415963	HGNC_Symbol	transcribed_unprocessed_pseudogene	DNM1DN14.2	DNM1P46	-1
DNM1DN14-3	DNM1DN14-3	DNM1P47	ENSG00000259660	ENSG00000259660.3	chr15	101751553	101764961	ENST00000571780	HGNC_Symbol	transcribed_unprocessed_pseudogene	DNM1DN14-3	DNM1P47	1
DNM1DN15@	DNM1DN15@	DNM1P24	ENSG00000242854	ENSG00000242854.1	chrY	24179316	24183505	ENST00000441091	HGNC_Symbol	transcribed_unprocessed_pseudogene	DNM1DN15@	DNM1P24	-1
DNM1DN15-1	DNM1DN15-1	DNM1P24	ENSG00000242854	ENSG00000242854.1	chrY	24179316	24183505	ENST00000441091	HGNC_Symbol	transcribed_unprocessed_pseudogene	DNM1DN15-1	DNM1P24	-1
DNM1DN17	DNM1DN17	DNM1P17	ENSG00000250833	ENSG00000250833.1	chr10	30353706	30357365	ENST00000512082	HGNC_Symbol	unprocessed_pseudogene	DNM1DN17	DNM1P17	1
DNM1DN17@	DNM1DN17@	DNM1P17	ENSG00000250833	ENSG00000250833.1	chr10	30353706	30357365	ENST00000512082	HGNC_Symbol	unprocessed_pseudogene	DNM1DN17@	DNM1P17	1
DNM1DN3@	ENSG00000260897.DNM1DN3@	DNM1P30	ENSG00000260897	ENSG00000260897.1	chr15	30150872	30153409	ENST00000563586	HGNC_Symbol	unprocessed_pseudogene	DNM1DN3@	DNM1P30	-1
DNM1DN3@	ENSG00000261792.DNM1DN3@	DNM1P28	ENSG00000261792	ENSG00000261792.1	chr15	30098826	30102093	ENST00000565702	HGNC_Symbol	transcribed_unprocessed_pseudogene	DNM1DN3@	DNM1P28	-1
DNM1DN3-1	DNM1DN3-1	DNM1P28	ENSG00000261792	ENSG00000261792.1	chr15	30098826	30102093	ENST00000565702	HGNC_Symbol	transcribed_unprocessed_pseudogene	DNM1DN3-1	DNM1P28	-1
DNM1DN3-3	DNM1DN3-3	DNM1P28	ENSG00000261792	ENSG00000261792.1	chr15	30098826	30102093	ENST00000565702	HGNC_Symbol	transcribed_unprocessed_pseudogene	DNM1DN3-3	DNM1P28	-1
DNM1DN3-4	DNM1DN3-4	DNM1P30	ENSG00000260897	ENSG00000260897.1	chr15	30150872	30153409	ENST00000563586	HGNC_Symbol	unprocessed_pseudogene	DNM1DN3-4	DNM1P30	-1
DNM1DN4@	ENSG00000260897.DNM1DN4@	DNM1P30	ENSG00000260897	ENSG00000260897.1	chr15	30150872	30153409	ENST00000563586	HGNC_Symbol	unprocessed_pseudogene	DNM1DN4@	DNM1P30	-1
DNM1DN4@	ENSG00000261491.DNM1DN4@	DNM1P31	ENSG00000261491	ENSG00000261491.1	chr15	32384937	32387484	ENST00000564149	HGNC_Symbol	unprocessed_pseudogene	DNM1DN4@	DNM1P31	1
DNM1DN4@	ENSG00000261708.DNM1DN4@	DNM1P32	ENSG00000261708	ENSG00000261708.1	chr15	32436503	32439767	ENST00000566124	HGNC_Symbol	transcribed_unprocessed_pseudogene	DNM1DN4@	DNM1P32	1
DNM1DN4-2	DNM1DN4-2	DNM1P31	ENSG00000261491	ENSG00000261491.1	chr15	32384937	32387484	ENST00000564149	HGNC_Symbol	unprocessed_pseudogene	DNM1DN4-2	DNM1P31	1
DNM1DN4-3	DNM1DN4-3	DNM1P30	ENSG00000260897	ENSG00000260897.1	chr15	30150872	30153409	ENST00000563586	HGNC_Symbol	unprocessed_pseudogene	DNM1DN4-3	DNM1P30	-1
DNM1DN4-5	DNM1DN4-5	DNM1P32	ENSG00000261708	ENSG00000261708.1	chr15	32436503	32439767	ENST00000566124	HGNC_Symbol	transcribed_unprocessed_pseudogene	DNM1DN4-5	DNM1P32	1
DNM1DN5	DNM1DN5	DNM1P5	ENSG00000278582	ENSG00000278582.1	chr15	34520608	34521791	ENST00000615639	HGNC_Symbol	unprocessed_pseudogene	DNM1DN5	DNM1P5	1
DNM1DN5@	DNM1DN5@	DNM1P5	ENSG00000278582	ENSG00000278582.1	chr15	34520608	34521791	ENST00000615639	HGNC_Symbol	unprocessed_pseudogene	DNM1DN5@	DNM1P5	1
DNM1DN7@	DNM1DN7@	DNM1P33	ENSG00000260096	ENSG00000260096.1	chr15	74062780	74063785	ENST00000565222	HGNC_Symbol	transcribed_unprocessed_pseudogene	DNM1DN7@	DNM1P33	1
