named.index	unique.index	external_gene_name	ensembl_gene_id	ensembl_gene_id_version	chromosome_name	start_position	end_position	ensembl_transcript_id	external_gene_source	gene_biotype	external_synonym	hgnc_symbol
ENSG00000254909	ENSG00000254909		ENSG00000254909	ENSG00000254909.1	chr11	119005727	119005934	ENST00000527269		processed_pseudogene		
ENSG00000254914	ENSG00000254914		ENSG00000254914	ENSG00000254914.1	chr11	42939775	42939998	ENST00000534066		processed_pseudogene		
ENSG00000254915	ENSG00000254915		ENSG00000254915	ENSG00000254915.1	chr11	75942129	75942435	ENST00000530091		processed_pseudogene		
ENSG00000254920	ENSG00000254920		ENSG00000254920	ENSG00000254920.1	chr11	48893256	48898703	ENST00000534243		unprocessed_pseudogene		
ENSG00000254923	ENSG00000254923		ENSG00000254923	ENSG00000254923.1	chr8	12128107	12129298	ENST00000526505		processed_pseudogene		
ENSG00000254924	ENSG00000254924		ENSG00000254924	ENSG00000254924.2	chr11	71506061	71506380	ENST00000532468		processed_pseudogene		
ENSG00000254926	ENSG00000254926		ENSG00000254926	ENSG00000254926.1	chr11	58748999	58761053	ENST00000526644		unprocessed_pseudogene		
ENSG00000254935	ENSG00000254935		ENSG00000254935	ENSG00000254935.1	chr11	122618851	122619274	ENST00000531724		processed_pseudogene		
ENSG00000254937	ENSG00000254937		ENSG00000254937	ENSG00000254937.1	chr11	124538500	124539334	ENST00000533869		unprocessed_pseudogene		
ENSG00000254939	ENSG00000254939		ENSG00000254939	ENSG00000254939.1	chr11	98565074	98566827	ENST00000527289		processed_pseudogene		
ENSG00000254941	ENSG00000254941		ENSG00000254941	ENSG00000254941.1	chr11	124807822	124808269	ENST00000533974		processed_pseudogene		
ENSG00000254953	ENSG00000254953		ENSG00000254953	ENSG00000254953.1	chr11	56736316	56736462	ENST00000525668		processed_pseudogene		
ENSG00000254957	ENSG00000254957		ENSG00000254957	ENSG00000254957.1	chr11	11135482	11137658	ENST00000529697		processed_pseudogene		
ENSG00000254974	ENSG00000254974		ENSG00000254974	ENSG00000254974.1	chr11	74485580	74486051	ENST00000524889		processed_pseudogene		
ENSG00000254992	ENSG00000254992		ENSG00000254992	ENSG00000254992.1	chr11	118322789	118323083	ENST00000525856		processed_pseudogene		
ENSG00000255000	ENSG00000255000		ENSG00000255000	ENSG00000255000.1	chr8	145047860	145048889	ENST00000534696		processed_pseudogene		
ENSG00000255001	ENSG00000255001		ENSG00000255001	ENSG00000255001.1	chr11	50290749	50290933	ENST00000529536		processed_pseudogene		
ENSG00000255011	ENSG00000255011		ENSG00000255011	ENSG00000255011.1	chr11	90071136	90073055	ENST00000532034		unprocessed_pseudogene		
ENSG00000255018	ENSG00000255018		ENSG00000255018	ENSG00000255018.1	chr11	13152200	13152348	ENST00000530684		processed_pseudogene		
ENSG00000255022	ENSG00000255022		ENSG00000255022	ENSG00000255022.1	chr11	87816224	87816524	ENST00000529711		processed_pseudogene		
ENSG00000255057	ENSG00000255057		ENSG00000255057	ENSG00000255057.1	chr11	130008586	130009765	ENST00000525666		processed_pseudogene		
ENSG00000255065	ENSG00000255065		ENSG00000255065	ENSG00000255065.1	chr11	106310045	106311791	ENST00000529025		processed_pseudogene		
ENSG00000255074	ENSG00000255074		ENSG00000255074	ENSG00000255074.1	chr11	14440787	14441677	ENST00000534211		processed_pseudogene		
ENSG00000255085	ENSG00000255085		ENSG00000255085	ENSG00000255085.9	chr8	144705534	144708517	ENST00000581667		transcribed_unprocessed_pseudogene		
ENSG00000255086	ENSG00000255086		ENSG00000255086	ENSG00000255086.1	chr11	26045987	26047598	ENST00000526444		processed_pseudogene		
ENSG00000255088	ENSG00000255088		ENSG00000255088	ENSG00000255088.1	chr11	13758111	13758345	ENST00000532487		processed_pseudogene		
ENSG00000255093	ENSG00000255093		ENSG00000255093	ENSG00000255093.3	chr11	111448450	111473381	ENST00000635926		transcribed_unitary_pseudogene		
ENSG00000255099	ENSG00000255099		ENSG00000255099	ENSG00000255099.1	chr8	109777912	109782288	ENST00000530760		processed_pseudogene		
ENSG00000255107	ENSG00000255107		ENSG00000255107	ENSG00000255107.1	chr8	69859264	69860540	ENST00000531211		processed_pseudogene		
ENSG00000255110	ENSG00000255110		ENSG00000255110	ENSG00000255110.1	chr11	55279949	55280289	ENST00000526238		unprocessed_pseudogene		
ENSG00000255115	ENSG00000255115		ENSG00000255115	ENSG00000255115.2	chr11	77914990	77915275	ENST00000532139		processed_pseudogene		
ENSG00000255122	ENSG00000255122		ENSG00000255122	ENSG00000255122.1	chr8	12580287	12581063	ENST00000533893		transcribed_processed_pseudogene		
ENSG00000255144	ENSG00000255144		ENSG00000255144	ENSG00000255144.1	chr8	11895850	11896870	ENST00000525252		unprocessed_pseudogene		
ENSG00000255149	ENSG00000255149		ENSG00000255149	ENSG00000255149.1	chr11	110876994	110877177	ENST00000530590		processed_pseudogene		
ENSG00000255155	ENSG00000255155		ENSG00000255155	ENSG00000255155.1	chr11	130544643	130544856	ENST00000525240		processed_pseudogene		
ENSG00000255166	ENSG00000255166		ENSG00000255166	ENSG00000255166.1	chr8	43247191	43247410	ENST00000525383		processed_pseudogene		
ENSG00000255170	ENSG00000255170		ENSG00000255170	ENSG00000255170.2	chr11	89764884	89765138	ENST00000526316		processed_pseudogene		
ENSG00000255174	ENSG00000255174		ENSG00000255174	ENSG00000255174.1	chr8	11999087	11999468	ENST00000533272		processed_pseudogene		
ENSG00000255184	ENSG00000255184		ENSG00000255184	ENSG00000255184.1	chr11	90017611	90024511	ENST00000525033		transcribed_unprocessed_pseudogene		
ENSG00000255188	ENSG00000255188		ENSG00000255188	ENSG00000255188.1	chr11	129788064	129788190	ENST00000529684		processed_pseudogene		
ENSG00000255204	ENSG00000255204		ENSG00000255204	ENSG00000255204.1	chr11	55863932	55881243	ENST00000533247		transcribed_unprocessed_pseudogene		
ENSG00000255207	ENSG00000255207		ENSG00000255207	ENSG00000255207.1	chr11	33450646	33450943	ENST00000527476		processed_pseudogene		
ENSG00000255210	ENSG00000255210		ENSG00000255210	ENSG00000255210.1	chr11	110049528	110050160	ENST00000525414		processed_pseudogene		
ENSG00000255211	ENSG00000255211		ENSG00000255211	ENSG00000255211.1	chr8	7967344	7968544	ENST00000525882		unprocessed_pseudogene		
ENSG00000255214	ENSG00000255214		ENSG00000255214	ENSG00000255214.1	chr11	49871826	49874067	ENST00000526053		unprocessed_pseudogene		
ENSG00000255232	ENSG00000255232		ENSG00000255232	ENSG00000255232.1	chr11	3961277	3961538	ENST00000529141		processed_pseudogene		
ENSG00000255235	ENSG00000255235		ENSG00000255235	ENSG00000255235.1	chr11	89883927	89886213	ENST00000529514		unprocessed_pseudogene		
ENSG00000255253	ENSG00000255253		ENSG00000255253	ENSG00000255253.1	chr8	12638428	12638602	ENST00000528506		processed_pseudogene		
ENSG00000255266	ENSG00000255266		ENSG00000255266	ENSG00000255266.1	chr11	57870322	57870571	ENST00000530974		processed_pseudogene		
ENSG00000255268	ENSG00000255268		ENSG00000255268	ENSG00000255268.2	chr11	49824839	49826724	ENST00000528639		transcribed_unprocessed_pseudogene		
ENSG00000255280	ENSG00000255280		ENSG00000255280	ENSG00000255280.1	chr11	75642600	75642889	ENST00000526967		processed_pseudogene		
ENSG00000255281	ENSG00000255281		ENSG00000255281	ENSG00000255281.1	chr11	29391525	29393844	ENST00000265458		processed_pseudogene		
ENSG00000255283	ENSG00000255283		ENSG00000255283	ENSG00000255283.3	chr11	55279447	55284749	ENST00000532369		unprocessed_pseudogene		
ENSG00000255285	ENSG00000255285		ENSG00000255285	ENSG00000255285.1	chr11	89789412	89789733	ENST00000531893		processed_pseudogene		
ENSG00000255286	ENSG00000255286		ENSG00000255286	ENSG00000255286.2	chr11	111945639	111946892	ENST00000530827		processed_pseudogene		
ENSG00000255288	ENSG00000255288		ENSG00000255288	ENSG00000255288.1	chr11	30167163	30167306	ENST00000528537		processed_pseudogene		
ENSG00000255296	ENSG00000255296		ENSG00000255296	ENSG00000255296.1	chr11	71938671	71939544	ENST00000524791		processed_pseudogene		
ENSG00000255309	ENSG00000255309		ENSG00000255309	ENSG00000255309.1	chr11	11759101	11759433	ENST00000524621		processed_pseudogene		
ENSG00000255331	ENSG00000255331		ENSG00000255331	ENSG00000255331.1	chr11	60077350	60078401	ENST00000528891		processed_pseudogene		
ENSG00000255333	ENSG00000255333		ENSG00000255333	ENSG00000255333.1	chr11	58354004	58354499	ENST00000528539		processed_pseudogene		
ENSG00000255336	ENSG00000255336		ENSG00000255336	ENSG00000255336.1	chr11	105246880	105247060	ENST00000528941		unprocessed_pseudogene		
ENSG00000255338	ENSG00000255338		ENSG00000255338	ENSG00000255338.1	chr11	49110756	49111220	ENST00000532092		processed_pseudogene		
ENSG00000255342	ENSG00000255342		ENSG00000255342	ENSG00000255342.1	chr11	123135923	123136376	ENST00000527351		processed_pseudogene		
ENSG00000255347	ENSG00000255347		ENSG00000255347	ENSG00000255347.1	chr11	40083710	40084517	ENST00000525564		processed_pseudogene		
ENSG00000255356	ENSG00000255356		ENSG00000255356	ENSG00000255356.2	chr12	7896608	7896956	ENST00000533382		processed_pseudogene		
ENSG00000255360	ENSG00000255360		ENSG00000255360	ENSG00000255360.1	chr11	89955146	89957165	ENST00000526848		transcribed_unprocessed_pseudogene		
ENSG00000255365	ENSG00000255365		ENSG00000255365	ENSG00000255365.1	chr8	14690382	14690619	ENST00000530195		processed_pseudogene		
ENSG00000255368	ENSG00000255368		ENSG00000255368	ENSG00000255368.1	chr11	25140533	25141023	ENST00000524920		processed_pseudogene		
ENSG00000255369	ENSG00000255369		ENSG00000255369	ENSG00000255369.1	chr11	128880325	128880668	ENST00000531824		processed_pseudogene		
ENSG00000255380	ENSG00000255380		ENSG00000255380	ENSG00000255380.1	chr11	98130239	98131198	ENST00000531194		processed_pseudogene		
ENSG00000255381	ENSG00000255381		ENSG00000255381	ENSG00000255381.1	chr11	59142121	59142610	ENST00000529891		processed_pseudogene		
ENSG00000255391	ENSG00000255391		ENSG00000255391	ENSG00000255391.1	chr11	87480736	87481297	ENST00000528472		processed_pseudogene		
ENSG00000255396	ENSG00000255396		ENSG00000255396	ENSG00000255396.2	chr11	84997226	84997768	ENST00000532151		processed_pseudogene		
ENSG00000255401	ENSG00000255401		ENSG00000255401	ENSG00000255401.1	chr11	13488612	13489390	ENST00000532318		unprocessed_pseudogene		
ENSG00000255413	ENSG00000255413		ENSG00000255413	ENSG00000255413.1	chr8	13741809	13742781	ENST00000534017		processed_pseudogene		
ENSG00000255437	ENSG00000255437		ENSG00000255437	ENSG00000255437.1	chr8	14022687	14023422	ENST00000534576		processed_pseudogene		
ENSG00000255442	ENSG00000255442		ENSG00000255442	ENSG00000255442.1	chr11	50170156	50190441	ENST00000533593		transcribed_unprocessed_pseudogene		
ENSG00000255445	ENSG00000255445		ENSG00000255445	ENSG00000255445.1	chr11	93152075	93152750	ENST00000527756		processed_pseudogene		
ENSG00000255452	ENSG00000255452		ENSG00000255452	ENSG00000255452.1	chr11	49092404	49092767	ENST00000530377		transcribed_processed_pseudogene		
ENSG00000255454	ENSG00000255454		ENSG00000255454	ENSG00000255454.1	chr11	25630720	25631041	ENST00000532310		processed_pseudogene		
ENSG00000255457	ENSG00000255457		ENSG00000255457	ENSG00000255457.1	chr8	13695574	13705506	ENST00000532664		transcribed_processed_pseudogene		
ENSG00000255459	ENSG00000255459		ENSG00000255459	ENSG00000255459.2	chr8	8086022	8086762	ENST00000531125		transcribed_processed_pseudogene		
ENSG00000255463	ENSG00000255463		ENSG00000255463	ENSG00000255463.1	chr11	9631008	9631359	ENST00000527568		processed_pseudogene		
ENSG00000255486	ENSG00000255486		ENSG00000255486	ENSG00000255486.1	chr11	89723482	89727253	ENST00000530980		unprocessed_pseudogene		
ENSG00000255489	ENSG00000255489		ENSG00000255489	ENSG00000255489.1	chr11	24701275	24701575	ENST00000526957		processed_pseudogene		
ENSG00000255497	ENSG00000255497		ENSG00000255497	ENSG00000255497.1	chr8	43313948	43314200	ENST00000533569		processed_pseudogene		
ENSG00000255499	ENSG00000255499		ENSG00000255499	ENSG00000255499.1	chr11	55865709	55865820	ENST00000526389		processed_pseudogene		
ENSG00000255500	ENSG00000255500		ENSG00000255500	ENSG00000255500.2	chr11	50268161	50269273	ENST00000525487		processed_pseudogene		
ENSG00000255505	ENSG00000255505		ENSG00000255505	ENSG00000255505.1	chr11	26427051	26427412	ENST00000528365		processed_pseudogene		
ENSG00000255511	ENSG00000255511		ENSG00000255511	ENSG00000255511.1	chr11	18870989	18873462	ENST00000525272		processed_pseudogene		
ENSG00000255513	ENSG00000255513		ENSG00000255513	ENSG00000255513.1	chr16	1963745	1964095	ENST00000530779		transcribed_processed_pseudogene		
ENSG00000255515	ENSG00000255515		ENSG00000255515	ENSG00000255515.1	chr11	93609760	93610333	ENST00000527217		processed_pseudogene		
ENSG00000255519	ENSG00000255519		ENSG00000255519	ENSG00000255519.1	chr11	45514187	45514451	ENST00000533158		processed_pseudogene		
ENSG00000255527	ENSG00000255527		ENSG00000255527	ENSG00000255527.1	chr11	48907103	48908946	ENST00000533838		unprocessed_pseudogene		
ENSG00000255530	ENSG00000255530		ENSG00000255530	ENSG00000255530.1	chr8	145005561	145005906	ENST00000525753		processed_pseudogene		
ENSG00000255533	ENSG00000255533		ENSG00000255533	ENSG00000255533.1	chr11	303856	304144	ENST00000533113		processed_pseudogene		
ENSG00000255535	ENSG00000255535		ENSG00000255535	ENSG00000255535.2	chr11	130040365	130041071	ENST00000527151		processed_pseudogene		
ENSG00000255540	ENSG00000255540		ENSG00000255540	ENSG00000255540.1	chr11	89731017	89734782	ENST00000527668		processed_pseudogene		
ENSG00000255543	ENSG00000255543		ENSG00000255543	ENSG00000255543.1	chr11	55267408	55267636	ENST00000526762		processed_pseudogene		
ENSG00000255550	ENSG00000255550		ENSG00000255550	ENSG00000255550.1	chr11	49854080	49859402	ENST00000532033		unprocessed_pseudogene		
ENSG00000255551	ENSG00000255551		ENSG00000255551	ENSG00000255551.1	chr11	48880111	48885237	ENST00000525520		unprocessed_pseudogene		
ENSG00000255556	ENSG00000255556		ENSG00000255556	ENSG00000255556.2	chr8	12378679	12380265	ENST00000526502		processed_pseudogene		
ENSG00000255563	ENSG00000255563		ENSG00000255563	ENSG00000255563.1	chr11	41660030	41660221	ENST00000530771		processed_pseudogene		
ENSG00000255566	ENSG00000255566		ENSG00000255566	ENSG00000255566.1	chr12	64442510	64443330	ENST00000543493		processed_pseudogene		
ENSG00000255575	ENSG00000255575		ENSG00000255575	ENSG00000255575.1	chr12	120057035	120057180	ENST00000540773		processed_pseudogene		
ENSG00000255581	ENSG00000255581		ENSG00000255581	ENSG00000255581.1	chr12	8017201	8017860	ENST00000388966		processed_pseudogene		
ENSG00000255583	ENSG00000255583		ENSG00000255583	ENSG00000255583.3	chr12	63684748	63724935	ENST00000543539		transcribed_unprocessed_pseudogene		
ENSG00000255585	ENSG00000255585		ENSG00000255585	ENSG00000255585.4	chr9	137787665	137788690	ENST00000421194		transcribed_processed_pseudogene		
ENSG00000255627	ENSG00000255627		ENSG00000255627	ENSG00000255627.1	chr12	22008348	22008880	ENST00000541534		processed_pseudogene		
ENSG00000255653	ENSG00000255653		ENSG00000255653	ENSG00000255653.1	chr11	95011858	95012532	ENST00000545768		unprocessed_pseudogene		
ENSG00000255669	ENSG00000255669		ENSG00000255669	ENSG00000255669.3	chr12	2761200	2775658	ENST00000637160		transcribed_unitary_pseudogene		
ENSG00000255703	ENSG00000255703		ENSG00000255703	ENSG00000255703.1	chr12	132899984	132900368	ENST00000536775		processed_pseudogene		
ENSG00000255704	ENSG00000255704		ENSG00000255704	ENSG00000255704.1	chr12	131596857	131597115	ENST00000541343		processed_pseudogene		
ENSG00000255726	ENSG00000255726		ENSG00000255726	ENSG00000255726.1	chr6	31222913	31223093	ENST00000546340		unprocessed_pseudogene		
ENSG00000255753	ENSG00000255753		ENSG00000255753	ENSG00000255753.1	chr12	9314402	9316173	ENST00000543664		processed_pseudogene		
ENSG00000255757	ENSG00000255757		ENSG00000255757	ENSG00000255757.1	chr12	127876999	127877516	ENST00000538359		processed_pseudogene		
ENSG00000255780	ENSG00000255780		ENSG00000255780	ENSG00000255780.1	chr12	64032412	64032665	ENST00000537101		processed_pseudogene		
ENSG00000255786	ENSG00000255786		ENSG00000255786	ENSG00000255786.1	chr11	73452020	73452344	ENST00000539481		processed_pseudogene		
ENSG00000255830	ENSG00000255830		ENSG00000255830	ENSG00000255830.2	chr12	114548854	114549852	ENST00000548774		processed_pseudogene		
ENSG00000255836	ENSG00000255836		ENSG00000255836	ENSG00000255836.1	chr12	7438780	7439990	ENST00000538078		processed_pseudogene		
ENSG00000255853	ENSG00000255853		ENSG00000255853	ENSG00000255853.1	chr12	126510910	126511711	ENST00000422539		processed_pseudogene		
ENSG00000255860	ENSG00000255860		ENSG00000255860	ENSG00000255860.3	chr11	72172455	72177954	ENST00000538934		transcribed_unprocessed_pseudogene		
ENSG00000255870	ENSG00000255870		ENSG00000255870	ENSG00000255870.1	chr11	113789242	113790027	ENST00000544730		transcribed_processed_pseudogene		
ENSG00000255885	ENSG00000255885		ENSG00000255885	ENSG00000255885.1	chr12	7870852	7871370	ENST00000536322		processed_pseudogene		
ENSG00000255899	ENSG00000255899		ENSG00000255899	ENSG00000255899.1	chr6	31224342	31225058	ENST00000538455		unprocessed_pseudogene		
ENSG00000255900	ENSG00000255900		ENSG00000255900	ENSG00000255900.1	chr12	126616344	126616554	ENST00000536978		processed_pseudogene		
ENSG00000255919	ENSG00000255919		ENSG00000255919	ENSG00000255919.1	chr12	133217210	133217675	ENST00000544259		processed_pseudogene		
ENSG00000255923	ENSG00000255923		ENSG00000255923	ENSG00000255923.1	chr12	126864465	126865422	ENST00000539832		processed_pseudogene		
ENSG00000255960	ENSG00000255960		ENSG00000255960	ENSG00000255960.1	chr12	18424663	18425140	ENST00000535964		processed_pseudogene		
ENSG00000255965	ENSG00000255965		ENSG00000255965	ENSG00000255965.1	chr12	124383381	124383510	ENST00000545095		processed_pseudogene		
ENSG00000255972	ENSG00000255972		ENSG00000255972	ENSG00000255972.1	chr12	122563735	122563762	ENST00000543745		processed_pseudogene		
ENSG00000255973	ENSG00000255973		ENSG00000255973	ENSG00000255973.1	chr12	5583797	5584085	ENST00000545761		processed_pseudogene		
ENSG00000255977	ENSG00000255977		ENSG00000255977	ENSG00000255977.1	chr12	7606834	7607331	ENST00000544818		processed_pseudogene		
ENSG00000255995	ENSG00000255995		ENSG00000255995	ENSG00000255995.1	chr11	93991346	93991429	ENST00000534879		processed_pseudogene		
ENSG00000255996	ENSG00000255996		ENSG00000255996	ENSG00000255996.1	chr12	5032388	5032941	ENST00000537214		processed_pseudogene		
ENSG00000256004	ENSG00000256004		ENSG00000256004	ENSG00000256004.1	chr12	8678773	8679670	ENST00000545370		processed_pseudogene		
ENSG00000256035	ENSG00000256035		ENSG00000256035	ENSG00000256035.1	chr11	102806948	102807916	ENST00000546014		processed_pseudogene		
ENSG00000256044	ENSG00000256044		ENSG00000256044	ENSG00000256044.1	chr12	122749481	122749586	ENST00000542164		processed_pseudogene		
ENSG00000256070	ENSG00000256070		ENSG00000256070	ENSG00000256070.1	chr12	33454345	33455452	ENST00000393026		processed_pseudogene		
ENSG00000256075	ENSG00000256075		ENSG00000256075	ENSG00000256075.1	chr12	68473741	68474902	ENST00000216407		processed_pseudogene		
ENSG00000256081	ENSG00000256081		ENSG00000256081	ENSG00000256081.2	chr14	21585290	21586280	ENST00000541653		processed_pseudogene		
ENSG00000256093	ENSG00000256093		ENSG00000256093	ENSG00000256093.1	chr12	125056359	125056581	ENST00000541494		processed_pseudogene		
ENSG00000256098	ENSG00000256098		ENSG00000256098	ENSG00000256098.1	chr11	74142151	74142358	ENST00000537692		processed_pseudogene		
ENSG00000256108	ENSG00000256108		ENSG00000256108	ENSG00000256108.1	chr12	132745156	132745729	ENST00000539323		processed_pseudogene		
ENSG00000256148	ENSG00000256148		ENSG00000256148	ENSG00000256148.1	chr11	73510658	73510820	ENST00000540641		processed_pseudogene		
ENSG00000256157	ENSG00000256157		ENSG00000256157	ENSG00000256157.1	chr12	20845065	20845260	ENST00000545978		processed_pseudogene		
ENSG00000256159	ENSG00000256159		ENSG00000256159	ENSG00000256159.1	chr12	31477506	31477987	ENST00000544433		processed_pseudogene		
ENSG00000256176	ENSG00000256176		ENSG00000256176	ENSG00000256176.1	chr12	31311617	31312029	ENST00000538551		processed_pseudogene		
ENSG00000256181	ENSG00000256181		ENSG00000256181	ENSG00000256181.1	chr11	63265836	63266256	ENST00000538772		unprocessed_pseudogene		
ENSG00000256221	ENSG00000256221		ENSG00000256221	ENSG00000256221.1	chr14	22332922	22334685	ENST00000543361		processed_pseudogene		
ENSG00000256254	ENSG00000256254		ENSG00000256254	ENSG00000256254.1	chr11	102766801	102767927	ENST00000535634		processed_pseudogene		
ENSG00000256346	ENSG00000256346		ENSG00000256346	ENSG00000256346.1	chr12	14169746	14169877	ENST00000546187		processed_pseudogene		
ENSG00000256350	ENSG00000256350		ENSG00000256350	ENSG00000256350.1	chr14	21698954	21699151	ENST00000539655		unprocessed_pseudogene		
ENSG00000256353	ENSG00000256353		ENSG00000256353	ENSG00000256353.1	chr12	23108458	23108493	ENST00000541161		processed_pseudogene		
ENSG00000256361	ENSG00000256361		ENSG00000256361	ENSG00000256361.1	chr11	18511043	18511475	ENST00000538408		processed_pseudogene		
ENSG00000256372	ENSG00000256372		ENSG00000256372	ENSG00000256372.1	chr12	31853021	31853407	ENST00000544968		processed_pseudogene		
ENSG00000256378	ENSG00000256378		ENSG00000256378	ENSG00000256378.1	chr12	27935523	27935749	ENST00000545989		unprocessed_pseudogene		
ENSG00000256399	ENSG00000256399		ENSG00000256399	ENSG00000256399.1	chr12	63887379	63888598	ENST00000534985		processed_pseudogene		
ENSG00000256400	ENSG00000256400		ENSG00000256400	ENSG00000256400.1	chr12	11097179	11097274	ENST00000542637		processed_pseudogene		
ENSG00000256450	ENSG00000256450		ENSG00000256450	ENSG00000256450.1	chr12	16513445	16514371	ENST00000540992		processed_pseudogene		
ENSG00000256465	ENSG00000256465		ENSG00000256465	ENSG00000256465.1	chr12	31893370	31893702	ENST00000541142		processed_pseudogene		
ENSG00000256480	ENSG00000256480		ENSG00000256480	ENSG00000256480.1	chr12	7237432	7240986	ENST00000540190		processed_pseudogene		
ENSG00000256496	ENSG00000256496		ENSG00000256496	ENSG00000256496.1	chr12	127317709	127319986	ENST00000544240		unprocessed_pseudogene		
ENSG00000256502	ENSG00000256502		ENSG00000256502	ENSG00000256502.1	chr12	127344258	127344402	ENST00000541512		transcribed_processed_pseudogene		
ENSG00000256533	ENSG00000256533		ENSG00000256533	ENSG00000256533.1	chr11	114453064	114454123	ENST00000541631		processed_pseudogene		
ENSG00000256552	ENSG00000256552		ENSG00000256552	ENSG00000256552.4	chr12	8368992	8369360	ENST00000411880		transcribed_processed_pseudogene		
ENSG00000256557	ENSG00000256557		ENSG00000256557	ENSG00000256557.1	chr12	27608733	27609046	ENST00000542428		processed_pseudogene		
ENSG00000256594	ENSG00000256594		ENSG00000256594	ENSG00000256594.11	chr12	9653683	9657043	ENST00000537668		transcribed_unprocessed_pseudogene		
ENSG00000256625	ENSG00000256625		ENSG00000256625	ENSG00000256625.1	chr12	27121910	27147664	ENST00000545069		unprocessed_pseudogene		
ENSG00000256626	ENSG00000256626		ENSG00000256626	ENSG00000256626.1	chr12	10040848	10045711	ENST00000538284		unprocessed_pseudogene		
ENSG00000256627	ENSG00000256627		ENSG00000256627	ENSG00000256627.1	chr12	15803164	15804158	ENST00000544148		processed_pseudogene		
ENSG00000256630	ENSG00000256630		ENSG00000256630	ENSG00000256630.1	chr12	128437778	128439206	ENST00000535243		unprocessed_pseudogene		
ENSG00000256640	ENSG00000256640		ENSG00000256640	ENSG00000256640.1	chr12	26800843	26801302	ENST00000541141		processed_pseudogene		
ENSG00000256651	ENSG00000256651		ENSG00000256651	ENSG00000256651.1	chr12	10831074	10832016	ENST00000541449		unprocessed_pseudogene		
ENSG00000256657	ENSG00000256657		ENSG00000256657	ENSG00000256657.1	chr12	11196075	11196996	ENST00000542152		unprocessed_pseudogene		
ENSG00000256663	ENSG00000256663		ENSG00000256663	ENSG00000256663.1	chr12	20551590	20553012	ENST00000540175		processed_pseudogene		
ENSG00000256664	ENSG00000256664		ENSG00000256664	ENSG00000256664.1	chr12	68841946	68842384	ENST00000537570		processed_pseudogene		
ENSG00000256673	ENSG00000256673		ENSG00000256673	ENSG00000256673.1	chr12	9398355	9414851	ENST00000540982		transcribed_unprocessed_pseudogene		
ENSG00000256674	ENSG00000256674		ENSG00000256674	ENSG00000256674.1	chr11	114583253	114584692	ENST00000536916		processed_pseudogene		
ENSG00000256708	ENSG00000256708		ENSG00000256708	ENSG00000256708.1	chr12	68143318	68143690	ENST00000542812		processed_pseudogene		
ENSG00000256723	ENSG00000256723		ENSG00000256723	ENSG00000256723.1	chr11	73994972	73996151	ENST00000544832		processed_pseudogene		
ENSG00000256734	ENSG00000256734		ENSG00000256734	ENSG00000256734.1	chr11	18450112	18450868	ENST00000535082		processed_pseudogene		
ENSG00000256748	ENSG00000256748		ENSG00000256748	ENSG00000256748.1	chr12	4601991	4603420	ENST00000538921		processed_pseudogene		
ENSG00000256774	ENSG00000256774		ENSG00000256774	ENSG00000256774.1	chr12	22596228	22596551	ENST00000535801		processed_pseudogene		
ENSG00000256799	ENSG00000256799		ENSG00000256799	ENSG00000256799.1	chr12	4635349	4636140	ENST00000537929		processed_pseudogene		
ENSG00000256804	ENSG00000256804		ENSG00000256804	ENSG00000256804.1	chr12	132126461	132126764	ENST00000540993		processed_pseudogene		
ENSG00000256827	ENSG00000256827		ENSG00000256827	ENSG00000256827.1	chr12	124005871	124006225	ENST00000536166		processed_pseudogene		
ENSG00000256835	ENSG00000256835		ENSG00000256835	ENSG00000256835.1	chr12	67978107	67978387	ENST00000355509		processed_pseudogene		
ENSG00000256843	ENSG00000256843		ENSG00000256843	ENSG00000256843.1	chr12	31748100	31748240	ENST00000540596		processed_pseudogene		
ENSG00000256851	ENSG00000256851		ENSG00000256851	ENSG00000256851.1	chr6	31515979	31516211	ENST00000538358		unprocessed_pseudogene		
ENSG00000256913	ENSG00000256913		ENSG00000256913	ENSG00000256913.1	chr12	6477714	6480207	ENST00000541242		processed_pseudogene		
ENSG00000256917	ENSG00000256917		ENSG00000256917	ENSG00000256917.1	chr12	68487687	68487863	ENST00000542626		processed_pseudogene		
ENSG00000256951	ENSG00000256951		ENSG00000256951	ENSG00000256951.1	chr15	28789199	28789486	ENST00000431496		transcribed_processed_pseudogene		
ENSG00000256975	ENSG00000256975		ENSG00000256975	ENSG00000256975.1	chr12	9506347	9508440	ENST00000545710		processed_pseudogene		
ENSG00000256984	ENSG00000256984		ENSG00000256984	ENSG00000256984.3	chr12	31015443	31015806	ENST00000637965		transcribed_processed_pseudogene		
ENSG00000256986	ENSG00000256986		ENSG00000256986	ENSG00000256986.2	chr12	34162477	34163442	ENST00000542491		unprocessed_pseudogene		
ENSG00000256987	ENSG00000256987		ENSG00000256987	ENSG00000256987.1	chr12	31953889	31955268	ENST00000538830		processed_pseudogene		
ENSG00000257005	ENSG00000257005		ENSG00000257005	ENSG00000257005.1	chr12	63651627	63651930	ENST00000545814		processed_pseudogene		
ENSG00000257012	ENSG00000257012		ENSG00000257012	ENSG00000257012.1	chr11	95040411	95041571	ENST00000542623		unprocessed_pseudogene		
ENSG00000257035	ENSG00000257035		ENSG00000257035	ENSG00000257035.1	chr12	127624153	127626267	ENST00000537470		transcribed_unprocessed_pseudogene		
